sentence,label,deepseek,openai,finbert,NLTK,finma-7b-nlp
We summarized the reasons.,neutral,neutral,Neutral,neutral,neural, neutral
"1. We believe that this economic cycle is different from the past. Market participants are often accustomed to inductive approaches, such as the Great Depression, the 1970s, and so on. In our opinion, neither is correct and is not applicable in this specific environment. Instead, deduction and first principles should be used.",neutral,neutral,Neutral,neutral,positive, neutral
"2. We must have determination, believe in common sense, and not be fooled by short-term phenomena. Much of the noise in the market is caused by liquidity, market structure, the emotions of market participants, and even market manipulation. The power of hedge funds and quantitative funds in the U.S. stock market is very powerful and can create a lot of noise and panic in the short term, causing some timid investors to panic and cut their stocks out in order to achieve the purpose of short selling profits. In the past year, we can see the shadow of hedge fund manipulation in the stock prices of Apple, Tesla, and Netflix.",neutral,neutral,Negative,neutral,negative,3. negative
"4. The evolution of the business cycle is often not linear, so it cannot be simply linearly extrapolated. At this point in time, the Republican Party, which has long neglected its duties, has begun to resume its normal budget watchdog function under the leadership of the new speaker, and closes the large-scale water pipes of the Democratic Party, and the fiscal stimulus will be at the end of the war. Therefore, coupled with the high degree of tightening of the Federal Reserve's monetary policy, it may cause the U.S. economy to slow down or even turn into autumn overnight. This slowdown may be a sudden slowdown, and the disease may come like a mountain.",negative,negative,Negative,negative,negative, negative
"The Treasury is a big player in influencing interest rates. Yellen was criticized by Drukenmiller, a partner of Soros, who believed that she was incompetent and did not issue more debt when long-term interest rates were low. As a result, she was forced to issue debt when interest rates are now high, resulting in increased interest expenses. This criticism is reasonable because Yellen is an economist whose style is more academic than practical. In fact, the Biden administration does not take Yellen's opinions and views seriously, and treats her more like a flower vase. Yellen probably did not expect that the Biden administration would continue to borrow without a bottom line.",negative,negative,Negative,negative,positive, negative
"However, the criticism is obviously effective. The Ministry of Finance announced the financing plan for the fourth quarter. The overall scale was lower than expected, with a reduction of US$76 billion. The balance of the Treasury Department's account is also very high, exceeding the pre-epidemic level, about more than 750 billion U.S. dollars, reducing the need for subsequent bond issuance. The direct consequence of this news is that long-term bond interest rates in the United States continue to fall, because there are many shorts to cover. The Ministry of Finance also plans to restart the debt buyback plan in 2024 to improve the debt structure and borrow more low-interest debt to repay high interest rates.",positive,neutral,Neutral,negative,positive,1. negative
"The Federal Reserve also had an important event last Wednesday. The result of the November interest rate meeting was to suspend interest rate hikes. Powell also did not discuss the possibility of raising interest rates one more time, suggesting that there will be no rate hike in December. After all, long-term bond interest rates have soared and financial conditions have tightened, which is equivalent to raising interest rates twice. The futures market expects that the probability of an interest rate hike in December is around 10%, and interest rate cuts will probably begin in May or June next year, with a 100 basis point rate cut throughout the year. But we should also note that the expectations of the futures market may be too optimistic.",neutral,neutral,Neutral,neutral,positive,0.0
"Japan recently adjusted the upper limit of its YCC monetary policy to 1%, but it is only a floating upper limit rather than a strict upper limit. This weakened upward pressure on U.S. bond yields.",neutral,neutral,Neutral,negative,negative, negative
"Short covering last week saw both stocks and bonds rise as the macro environment that had long protected their short selling reversed. Judging from historical experience, growth stocks and interest rate-related sectors will lead. During the recent rebound, the market breadth was increasing, and the most sensitive sectors were the small and medium-sized sectors and the interest-rate-sensitive housing construction and banking sectors, which all rebounded significantly. Unprofitable small stocks and Chinese concept stocks in technology stocks also rebounded more. It’s worth mentioning that cryptocurrencies also rallied. Now that Bitcoin has stabilized above US$3.5 million, it is worthy of attention, as are COIN, GBTC, etc. There is news from regional banks. Bill Gross, the old bond king, believes that the decline of regional new banks has bottomed out, and he is also buying heavily. The KBW Bank Index deserves attention.",positive,positive,Positive,positive,positive, positive
"Next week Congress must negotiate next year's budget. Market volatility may follow. If you missed last week's rise, this may be a time to buy.",positive,neutral,Neutral,neutral,negative, neutral
"Starting from January 1 this year, full cost insurance and planting income insurance policies for the three major food crops of rice, wheat, and corn have been fully implemented across the country.",neutral,neutral,Neutral,neutral,neural, neutral
"Recently, the Ministry of Finance, the Ministry of Agriculture and Rural Affairs, and the State Administration of Financial Supervision jointly issued a notice to make specific arrangements for this important policy in terms of subsidy programs, insurance programs, etc.",neutral,neutral,Neutral,neutral,positive, neutral
"The output of the three major staple grains of rice, wheat, and corn accounts for about 90% of my country\'s total grain output, and the sown area accounts for about 80%. It will be piloted from 2018 to 2020, and will be officially implemented from 2021 to 2023 and gradually expand the scope of policy implementation to all major grain-producing counties in the country. The three major grain crop full cost insurance and planting income insurance policies have been implemented for 6 years and are improving. Obvious results have been achieved in terms of insurance protection levels, increasing farmers\' enthusiasm for growing grain, and promoting moderate-scale operations.",positive,Positive,Positive,positive,positive, positive
"According to regulations, full-cost insurance is agricultural insurance in which the insurance amount covers the total cost of agricultural production such as physical and chemical costs, land costs, and labor costs; planting income insurance is agricultural insurance in which the insurance amount reflects the price and output of agricultural products, and the protection level covers the income from the planting of related agricultural products. .",neutral,neutral,Neutral,neutral,neural, neutral
"The """"Notice on the Comprehensive Implementation of Complete Cost Insurance and Planting Income Insurance Policies for Three Major Grain Crops Nationwide"""" jointly issued by the three departments clarified that the implementation areas of complete cost insurance and planting income insurance for the three major grain crops are grain growing areas across the country, ensuring The target includes all farmers and agricultural production and operation organizations such as moderate-scale farmers and small farmers. The full cost insurance protection level covers the total cost of agricultural production such as material, land and labor, and the planting income insurance protection level covers the planting income of related agricultural products. The protection level of these two types of insurance can reach up to 80% of the output value of the corresponding variety.",neutral,neutral,Positive,neutral,positive, positive
"""""The core content of the """"Notice"""" is to fully implement full-cost insurance and planting income insurance for the three major grain crops across the country, promote the further expansion of my country\'s agricultural insurance policy and raise standards, and the central and local finances will implement premium subsidies for insured farmers."""" The relevant person in charge of the Ministry of Finance People say.",neutral,neutral,Neutral,neutral,positive, positive
"Tuo Guozhu, a professor at the School of Finance at Capital University of Economics and Business and director of the Rural Insurance Research Institute, analyzed that this is an important policy for the development of agricultural insurance in my country. It originally only covered physical and chemical costs, but now it also covers land costs and labor costs. The insurance amount has increased from about mu The output value is increased from 40% to about 80% of the output value per mu, and the risk protection level is doubled. This is not only conducive to the sustainable production of the three major food crops and ensuring food security, but also further guarantees the income of grain farmers.",positive,positive,Positive,positive,positive, positive
"""""With the implementation of this policy, all grain-growing areas and farmers in China will enjoy policy dividends. The scope of implementation will be rapidly expanded, the coverage area will be further increased, and the level of security will be significantly improved. It will effectively stabilize the expected income of grain-growing farmers and improve farmers\' In particular, the enthusiasm of large-scale new business entities to grow grains, stabilizing and expanding grain planting areas, plays an important role in ensuring national food security,"""" said Zhang Qiao, chief scientist of the Agricultural Risk Management Research Center of the Chinese Academy of Agricultural Sciences.",positive,Positive,Positive,positive,positive, positive
Strong financial support and guarantee,positive,positive,Positive,neutral,positive, positive
"Financial support is an important guarantee for accelerating the high-quality development of agricultural insurance. According to regulations, in terms of premium subsidy ratio, on the basis of provincial fiscal premium subsidies of no less than 25%, the central fiscal subsidy will be 45% for the central and western regions and northeastern regions, and 35% for the eastern region. On the basis that the relevant central units bear no less than 10% of the premiums, the central government’s premium subsidies to relevant central units shall be based on the subsidy ratio in the location of their planting business.",neutral,neutral,Neutral,neutral,positive, neutral
"According to the relevant person in charge of the Ministry of Finance, last year, the central government allocated 47.8 billion yuan in agricultural insurance premium subsidy funds, providing 4.5 trillion yuan in risk protection for 160 million rural households. This year, the central government has allocated a budget of 56.2 billion yuan in agricultural insurance premium subsidies, a year-on-year increase of 18%, providing strong support for the full implementation of full-cost insurance and planting income insurance policies for the three major grain crops across the country.",positive,Positive,Positive,positive,positive, positive
"The """"Notice"""" emphasizes that local financial departments should strengthen coordination with agricultural and rural areas, insurance supervision and other relevant units and underwriting institutions, insist on doing their best and within their capabilities, strengthen performance orientation, scientifically and reasonably determine the level of protection, and allocate premium subsidies in full and in a timely manner. Improve the efficiency of the use of fiscal funds, promote the improvement of the quality and efficiency of agricultural insurance for the three major food crops, and ensure precise drip irrigation of policies.",positive,neutral,Neutral,neutral,positive, positive
"""""In order to better implement this important policy of the central government, many provinces have increased the subsidy budget for agricultural insurance in 2024 to ensure that \'what you want to protect\' is what you should make up,\' and promote the healthy and sustainable development of agricultural insurance. Tuo Guozhu said.",positive,positive,Positive,positive,positive, positive
Continuously promote quality and efficiency improvement,positive,neutral,Positive,neutral,positive, positive
"At present, the depth of my country\'s agricultural insurance (premium scale/added value of the primary industry) exceeds 1.5%, and the density (premium scale/agricultural employment population) exceeds 700 yuan/person. The """"Guiding Opinions on Accelerating the High-Quality Development of Agricultural Insurance"""" has been completed. phased goals.",positive,neutral,Neutral,neutral,positive, neutral
"What other policies are worth looking forward to in developing agricultural insurance at present and in the next stage? """"On the basis of steadily expanding coverage, increasing products, and raising standards, the Ministry of Finance will work with relevant parties to continue to promote the quality and efficiency of my country\'s agricultural insurance from the perspective of improving the income guarantee mechanism for grain farmers."""" said the relevant person in charge of the Ministry of Finance , it is necessary to study and formulate comprehensive guidance to further promote the high-quality development of my country\'s agricultural insurance, rationally plan the priorities of agricultural insurance development in accordance with the idea of \u200b\u200b""""central development of bulk, local development characteristics"""", and ensure the three major staple foods and other major bulk agricultural products that are related to the national economy and people\'s livelihood. and important supplies.",positive,neutral,Positive,neutral,positive, neutral
"In addition, we will promote the improvement of the quality and efficiency of insurance services and further enhance the sense of benefits of the policy for grain farmers. """"Cooperate with relevant parties to further clarify claims standards, standardize loss assessment, optimize compensation models, increase technological empowerment, make reasonable advance compensation, and make quick compensation if possible. Supervise insurance companies to design clauses that are easy to understand and improve farmers\' financial quality and insurance awareness. , to improve farmers’ sense of access and satisfaction with the policy,” said the person in charge.",positive,positive,Positive,positive,positive, positive
"my country\'s agricultural insurance is moving towards a new stage of high-quality development. Zhang Qiao believes that agricultural insurance will show a development trend from low protection to high protection, from extensive to precise, from single function to multifunctional, and from traditional to digital business models.",positive,positive,Positive,positive,negative, positive
"“In the future, my country’s agricultural insurance must follow the requirements of demand orientation, improving both quantity and quality, strengthening the foundation, strengthening the chain, reducing fees and increasing efficiency, improve the insurance protection level of important agricultural products such as grain, cotton, oil, sugar and pigs, and expand the scope of local characteristic agricultural products. Coverage scope, innovate and improve the multi-level agricultural insurance product system, promote agricultural insurance risk zoning and dynamic adjustment of premium rates, accelerate the application of agricultural insurance technology, optimize agricultural insurance operating mechanisms, strengthen agricultural insurance precise underwriting and claims settlement, and improve agricultural insurance infrastructure construction, Improve the agricultural insurance catastrophe risk dispersion system and promote the high-quality development of agricultural insurance,"""" Zhang Qiao said. (Reporter Zeng Jinhua)",positive,neutral,Neutral,positive,positive, positive
Xinhua News Agency reporter Gao Lei,neutral,neutral,Neutral,neutral,neural, neutral
"The """"Guiding Opinions on Accelerating the Development of Rural Elderly Care Services"""" issued by the Ministry of Civil Affairs and 21 departments was released on the 13th. This is the first overall and systematic deployment of the development of rural elderly care services at the national level.",neutral,neutral,Positive,neutral,positive, positive
Let all elderly people have a happy and contented old age.,positive,positive,Positive,neutral,positive, neutral
"The latest statistics show that my country’s population aged 60 and above has exceeded 296 million. The elderly population base is large and aging rapidly, and the demand for elderly care is growing rapidly.",neutral,neutral,Neutral,neutral,positive, neutral
"In January this year, the State Council issued the """"Opinions on Developing the Silver Economy to Improve the Well-Being of the Elderly."""" This programmatic document to promote the development of the silver economy in the new era proposed 26 measures in 4 aspects, covering the elderly\'s clothing, food, housing, transportation, elderly care, health management and many other aspects.",neutral,neutral,Positive,neutral,positive, neutral
"Second, there are few services. There are 16,000 rural nursing homes in my country with 1.681 million beds. There are approximately 145,000 mutual-aid elderly care service facilities in rural areas. However, due to the scattered residence of the elderly, the convenience and accessibility of services need to be improved.",negative,neutral,Negative,neutral,positive, neutral
"In view of the current situation of """"more"""" and """"less"""" rural elderly care, the opinions set goals -",neutral,neutral,Neutral,neutral,positive, neutral
"By 2025, the rural elderly care service network will be further improved, and outstanding service needs such as disability care for the elderly, medical and health care integration, meal assistance, visits and care, learning and entertainment, etc., will be effectively met.",positive,positive,Positive,positive,positive, positive
How to achieve this goal?,neutral,neutral,Neutral,neutral,neural, neutral
"The opinions weave a happiness """"net"""" for rural elderly covering the three levels of county and village.",positive,positive,Positive,neutral,positive, positive
"What supports this """"net""""?",neutral,neutral,Neutral,neutral,positive,0.0
"Our country\'s rural areas are a society of acquaintances, with relatively close interpersonal relationships, and villagers are highly enthusiastic about helping and reciprocating each other.",neutral,positive,Positive,neutral,positive, positive
"At present, various places have made useful explorations to maximize the enthusiasm of village collectives and villagers in participating in elderly care services.",positive,positive,Positive,neutral,positive, positive
The opinions have absorbed the exploration experience of all parties and strengthened support.,positive,neutral,Positive,positive,positive, positive
"For example, villagers use their own residences or rented sites to host elderly care service institutions, and their opinions require help to improve fire protection, construction, food, etc. safety levels; young healthy elderly people and left-behind women in rural areas are encouraged to form rural elderly care mutual aid service teams, and relevant personnel participate in skills training Yes, you can also get vocational training subsidies.",positive,neutral,Neutral,neutral,positive, neutral
"Let old-age care become “enjoyment of old age”. It should be pointed out that there are still some problems restricting rural elderly care services in our country. With the implementation of this overall plan and the joint efforts of the whole society, the """"net"""" of pension happiness will become denser and denser, and the red sunset picture will become even more beautiful.",positive,neutral,Positive,neutral,positive, positive
"January 26, 2024 Source: Chongqing Municipal Finance Bureau Office",neutral,neutral,Neutral,neutral,neural, neutral
"In recent years, the Chongqing Municipal Finance Bureau has deeply implemented Xi Jinping’s thoughts on the rule of law, thoroughly studied and implemented General Secretary Xi Jinping’s important expositions on financial work, solidly implemented the “one plan and two outlines” for rule of law construction and the Chongqing implementation plan, and promoted fiscal affairs with “four focuses” The construction of the rule of law continues to improve quality and efficiency, and the ability and level of law-based administration and financial management continue to improve.",positive,,Positive,positive,positive, positive
"1. Adhere to the guidance of party building and strive to improve political standing. Chongqing Finance adheres to the guidance of Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era, constantly improves the working mechanism for the party’s leadership in the construction of financial rule of law, and ensures that the construction of financial rule of law always maintains the correct political direction. The Bureau Party Group took the lead in promoting the """"main theme"""" of learning and using laws, and included Xi Jinping\'s Thought on the Rule of Law, the Constitution and other laws and regulations in the study plan of the Bureau Party Group\'s theoretical study center group as an important part of the education and training of Party members and cadres, and organized Party members and cadres to conscientiously study and understand the important aspects of Xi Jinping\'s Thought on the Rule of Law. Meaning, core essence, and practical requirements. Strictly implement the responsibilities of the person in charge of the party and government agencies as the first person responsible for promoting the construction of the rule of law. The party secretary and director of the bureau take the lead in implementing legal procedures for major administrative decisions, regularly listen to reports on the construction of the rule of law in finance, and continuously improve the leadership team\'s use of rule of law thinking and methods to deepen fiscal reform. , promote the development of fiscal undertakings, the ability to respond to risks in the fiscal field, and promote the overall improvement in the efficiency of fiscal rule of law construction.",positive,neutral,Neutral,neutral,positive, positive
"2. Improve the mechanism system and focus on consolidating work responsibilities. The first is to establish an overall leadership mechanism. The city\'s leading group for the construction of the financial rule of law took the lead and made it clear that members of the team should do a good job in building the financial rule of law in their respective areas of responsibility. We will insist on holding annual meetings of the leading group to arrange key fiscal and legal tasks, study and solve key and difficult issues, and track the implementation of effectiveness tasks. The second is to strengthen the establishment of rules and regulations. Improve the """"1+N"""" fiscal rule of law system, formulate the """"Implementation Opinions on Deeply Promoting the Construction of Chongqing\'s Fiscal Rule of Law in the New Era"""", clarify the guiding ideology, overall goals and main tasks of the construction of fiscal rule of law, from building an institutional system, implementation system, supervision system and guarantee The four aspects of the system refine the specific measures for the construction of fiscal rule of law and break them down to each department, forming a work pattern in which each performs its own duties and promotes them in a coordinated manner. The third is to improve the supervision and assessment mechanism. Formulate the """"Hongyan Pioneer"""" transformational financial organization construction plan, promote the """"rule of law in operation"""" of financial agencies, and incorporate the financial legal construction indicators into the bureau\'s """"four statements"""" indicator system as an important part of the """"operation statements"""" to focus on assessing decision-making in accordance with the law. , law enforcement, law popularization and publicity, appearing in court to respond to lawsuits, etc.",positive,neutral,Neutral,neutral,positive,3. Positive
"3. Standardize the operation of power and strive to enhance awareness of the rule of law. Strengthen the management of financial and administrative normative documents, formulate the """"Implementation Measures for the Management of Administrative Normative Documents of the Chongqing Municipal Finance Bureau"""" and the operating guide for document production and issuance, divide the life cycle of financial and administrative normative documents into twelve links, and use closed-loop management of the """"ten The """"two-step method"""" """"locks"""" administrative power into the """"cage"""" of the system and improves the level of scientific, standardized and legalized """"red-headed documents"""". The """"Implementation Benchmarks for Chongqing\'s Fiscal and Administrative Penalty Discretionary Power"""" was formulated to refine the penalty discretionary standards for 191 types of illegal acts in four fields including government procurement and financial accounting supervision, and actively promote flexible law enforcement. Information on key areas such as fiscal budgets and final accounts, fiscal revenue and expenditure, government debt, tax and fee reductions, government procurement, and financial accounting supervision shall be disclosed to the public in a timely manner and in accordance with the law. We shall conscientiously release and interpret fiscal policies, respond to social concerns, and accept supervision in accordance with the law.",positive,neutral,Neutral,neutral,positive,4. Positive
"Fourth, highlight joint efforts and joint management, and strive to play the role of legal dissemination. First, formulate and implement the """"Eighth Five-Year Plan"""" for fiscal law popularization, clarify the goals, tasks, objects and measures of fiscal law popularization, and highlight the study and publicity of Xi Jinping\'s Thought on the Rule of Law, the Constitution, the Civil Code, and fiscal and taxation laws and regulations. In accordance with the law popularization responsibility system of """"whoever enforces the law shall popularize the law"""", we will continue to improve the list of legal popularization responsibilities, formulate an annual financial law popularization plan, and implement the legal popularization tasks to people. The second is to innovate the method of legal popularization and continuously expand the platform for publicity and education on the rule of law in finance. On the basis of traditional video and poster publicity, we use rule of law forums, court hearings, knowledge competitions and other forms to create a strong atmosphere for rule of law publicity. The third is to enrich the publicity carrier of the fiscal rule of law, focus on summarizing the achievements of the construction of the fiscal rule of law, and compile the guiding documents on the construction of the fiscal rule of law, the currently effective laws and regulations in the fiscal field, and the normative documents of Chongqing\'s fiscal administration into a volume to provide financial cadres with the ability to learn and use the law. Practical teaching materials create a strong atmosphere of """"respecting the law, studying the law, observing the law and using it"""" in the city\'s financial system.",positive,neutral,Neutral,neutral,positive, positive
"Financial data for April 2024 will be released on May 20. From January to April, the general budget revenue accumulated to 8.1 trillion yuan, with a year-on-year growth rate of -2.7%, which is poor performance. Since 2024, public fiscal revenue has continued to be negative year-on-year. The growth rates for the same period from 2021 to 2023 are 3.6% (compounded over two years), -4.8%, and 3.3% (compounded over two years) respectively. After deducting the impact of special factors such as the tax deferment of small, medium and micro enterprises in the same period last year, which raised the base, and some tax reduction policies introduced in the middle of last year, the comparable growth rate was about 2.0%. The progress of general budget revenue in the first four months was slow, and only 36.1% of the national public fiscal revenue budget for the year was completed. The average over the past five years was 36.9%.",negative,negative,negative,negative,positive, negative
"The first account income is mainly dragged down by tax revenue. The total tax revenue from January to April was 6.7 trillion yuan, -4.9% year-on-year, and non-tax revenue was 1.4 trillion yuan, 9.3% year-on-year. In terms of tax types, 1) The top four tax types, domestic value-added tax, domestic consumption tax, corporate income tax and personal income tax, have a year-on-year growth rate of -7.6%, 8.3%, 0.9%, and -7.0% respectively. The growth rates are all higher than those in March. Somewhat downward. The decline in the growth rate of the four major tax categories may be related to the still low nominal economic growth rate; the decline in the growth rate of domestic consumption tax is mutually confirmed by the low growth rate of commodity retail sales in April, reflecting that the current domestic consumption still needs to be boosted; compared with corporate income tax The decline in the same period last year and in March was partly due to the impact of the tax deferred payment of small, medium and micro enterprises in the same period last year, which raised the base. On the other hand, it was also related to the continued low ex-factory price of industrial products. In April, the decline in personal income tax was wider, and the cumulative year-on-year growth rate It has been negative since February last year. 2) Taxes related to import and export performed well. The cumulative year-on-year growth rate of import value-added tax turned positive for the first time since 2023, reflecting the rise in my country’s import demand; the decline in the scale of export tax rebates for foreign trade companies narrowed, reflecting the gradual entry of overseas manufacturing. During the replenishment cycle, external demand has been boosted; 3) Among land and real estate related taxes, real estate tax, urban land use tax and cultivated land occupation tax have accumulated year-on-year growth of 19.2%, 12.1% and 20.2% respectively. The growth rate is relatively fast, but not It cannot directly reflect the improvement of land acquisition situation, and land transfer in April is still not optimistic.",negative,neutral,Negative,negative,positive,1. negative
"The expenditure side of the first account increased by 3.5%, mainly driven by infrastructure-related expenditure projects. From January to April, the expenditure items with the fastest year-on-year growth were agriculture, forestry and water affairs (12.7%), urban and rural community affairs (11.5%) and debt interest payments (6.8%), with the first two being infrastructure-related expenditure items. The total expenditure on the four items of infrastructure construction has turned from negative to positive since September last year, and the cumulative year-on-year growth rate from January to April this year has risen to 7.9%. This may be because the issuance of special bonds has accelerated since August last year, and the issuance of government bonds has accelerated since September. The additional issuance of 1 trillion treasury bonds will be used to support post-disaster recovery and reconstruction and improve disaster prevention, reduction and relief capabilities, and will be directly invested in infrastructure fields such as water conservancy, and most of the additional treasury bonds issuance has already begun.",neutral,neutral,Positive,positive,positive, positive
"1 trillion in additional government bonds are issued to boost infrastructure investment. On March 21, the State Council Information Office stated at a press conference, “In the past year, our country has issued an additional 1 trillion yuan of treasury bonds. By February this year, the National Development and Reform Commission had completed the list of 1 trillion yuan of additional treasury bond issuance projects in three batches. Funds have been fully allocated to 15,000 specific projects. """"In terms of support areas, more than half of the 1 trillion yuan in additional government bonds will be used for the construction of flood control and drainage and other related water conservancy facilities, and more than 200 billion yuan will be used for projects in Beijing, Tianjin, and Hebei. For post-disaster reconstruction, the remaining funds will be mainly used to improve natural disaster emergency response capabilities and build projects in these areas such as forest fire prevention and control systems, which will objectively promote stable growth in infrastructure investment.”",positive,Positive,Positive,neutral,positive, positive
"From January to April, broad-based income fell by 3.4% year-on-year, and broad-based expenditure fell by 2.3% year-on-year. The cumulative growth rate of general fiscal revenue (general public budget + government fund budget) from January to April has turned negative since this year. The general public budget and government fund budget revenue are both negative, mainly related to the decrease in government land sales revenue (-10.4 %); the cumulative growth rate of broad fiscal expenditures from January to April was -2.3%, a wider decline than the previous month, mainly due to the slow pace of special bond issuance since the beginning of the year. The issuance of new special bonds has been slow this year, with only 44% of actual issuances/planned issuances in April. The cumulative progress of new special bonds in the first four months was 18.5%, which is far lower than the 2019-2023 average (30%), which may reflect the small reserve of infrastructure projects in various regions and the slow start of construction.",negative,negative,Negative,negative,positive, negative
"Pay attention to the pace and sustainability of infrastructure development. In 2024, the National Two Sessions made it clear that in order to systematically solve the funding problems of some major project construction in the process of building a strong country and national rejuvenation, it plans to issue ultra-long-term special treasury bonds for several consecutive years starting from this year, specifically for the implementation of major national strategies and security in key areas. For capacity building, 1 trillion yuan will be issued first this year. The Politburo meeting on April 30 stated that it is necessary to issue and make good use of ultra-long-term special treasury bonds as soon as possible, speed up the issuance and use of special bonds, and maintain necessary fiscal expenditure intensity. However, judging from the special treasury bond issuance plan announced by the Ministry of Finance on May 13, the issuance of 1 trillion ultra-long special treasury bonds is relatively scattered from May to November, and the number of issuances from June to October is relatively large. Combined with the slow start of the additional 1 trillion treasury bonds issued last year and the slow pace of new special bond issuance this year, infrastructure spending may be relatively late, and its sustainability remains to be seen.",neutral,neutral,Neutral,neutral,positive, neutral
"Risk warning: Fiscal policy adjustments are beyond expectations, the pace of revenue and expenditure is less than expected, data updates are not timely, etc.",negative,negative,Negative,negative,negative, negative
"1. Production: Industrial production was weaker than seasonal, and most indicators fell year-on-year. 1) The operating rates of mid- and downstream automobile tires, polyester filament yarns, and looms in Jiangsu and Zhejiang fell across the board compared with the previous month. 2) Upstream raw material production has mostly slowed down. Among them, the further decline in profitability has put pressure on steel production, insufficient demand has led to a decline in cement clinker production capacity utilization, and the operating rates of major chemical products have mostly weakened year-on-year; however, hot metal production, Shandong local refining, and petroleum asphalt operating rates have increased from low to marginal rebounded and the year-on-year decline narrowed.",negative,negative,Negative,negative,negative,1. negative
"2. Investment: The rate of investment funds in place and the amount of raw materials have fallen simultaneously. 1) In terms of funding, according to a survey by Centennial Construction Network, the funding rate for construction sites dropped month-on-month in the week of July 16. Among them, the funding availability rate of non-housing construction projects dropped by 0.03 percentage points from the previous month to 64.39%, and the funding availability rate of housing construction projects dropped by 0.4 percentage points from the previous month to 48.56%. 2) In terms of consumption, the apparent consumption of steel building materials (threads and wire rods) this week was -13.1% year-on-year, a decline that expanded by 1.9 percentage points from last week. From July 10 to July 16, the year-on-year growth rates of national cement shipments and infrastructure cement direct supply were -32% (-4.5pct compared to the previous week) and -17.6% (-0.3.6pct compared to the previous week) respectively.",negative,negative,Negative,negative,positive,2. negative
"5. External demand: The growth trend is slowing down. 1) Export freight rates at some ports and routes turned from rising to falling. This week, China's export container freight index rose 3.3% month-on-month. It is worth noting that this week, the export container freight rates at the two important ports of Shanghai and Ningbo continued to fall, and the export freight rates for routes to the West America and East and West Africa fell, which may indicate that this round of export freight rates is close to peaking. 2) Port container throughput repair. In the week ending July 14, port container throughput monitored by the Ministry of Transport hit a new high since May 2022, with year-on-year growth rebounding to 13.1%.",negative,neutral,Negative,negative,positive, positive
"Risk warning: Policies to stabilize growth fall short of expectations, overseas economic recession is worse than expected, geopolitical conflicts escalate, etc.",negative,negative,Negative,negative,negative, negative
Major events of the week,neutral,neutral,Neutral,neutral,neural, neutral
"Domestic: China and the United States have another high-level phone call, and the central bank’s first quarter regular meeting is held. In March, Caixin China's manufacturing PMI recorded 51.1%, 0.2 percentage points higher than in February. It has remained on the line of prosperity and contraction for five consecutive months, indicating that the overall economic recovery is improving. It is expected that with the implementation of the policies proposed by the two sessions, Equipment updates and trade-in of consumer goods continue to help, and the manufacturing boom is expected to maintain steady expansion; on April 2, the National Development and Reform Commission hosted the first symposium on large-scale equipment update and trade-in of consumer goods, reflecting the importance that the National Development and Reform Commission attaches to private enterprises and support, as well as determination and actions to promote high-quality economic development; on the evening of April 2, Chinese President Xi Jinping had a phone call with U.S. President Biden at request. The two heads of state had a candid and in-depth exchange of views on Sino-U.S. relations and issues of common concern. Opinion: In recent years, the dialogue between China and the United States has gradually increased. This phone call between China and the United States is to continue to implement the consensus reached at the China-US San Francisco Summit and to keep high-level communication channels open. China-US relations are expected to continue the healthy, stable and positive development trend; On April 3, according to the official website of the People's Bank of China, the first quarter regular meeting of the Central Bank's Monetary Policy Committee was held in 2024. The central bank still focuses on the five major financial articles, especially real estate and platform economy. The implementation of subsequent monetary policies will be increased, and real estate Financing pressure will be eased, which will help boost residents and market confidence.",positive,Positive,Positive,positive,positive, positive
"Overseas: The U.S. manufacturing industry is relatively resilient, but the performance within the Eurozone is divided. On April 1, local time, the final value of the Eurozone manufacturing PMI in March was 46.1%, higher than market expectations, but a three-month low. The European economy is still in a weak state, mainly dragged down by Germany and France. It is expected that the short-term recovery prospects of the European economy will still be bumpy due to differentiated performance; on the same day, the U.S. ISM manufacturing index unexpectedly rose to 50.3% in March, entering the expansion range for the first time since September 2022. PMI data shows that the U.S. economy, especially the manufacturing industry Resilience is strong, and inflation is also highly sticky, but we still remind people to pay attention to the pressure on residents’ balance sheets; on April 2, local time, two Fed voting members, Mester and Daley, expressed a common view. They still expect the Fed to Interest rates will be cut three times in 2024. Judging from previously released data, the U.S. CPI rebounded slightly in February, the structure has improved, and wage increases have also slowed. We still maintain the judgment that the Federal Reserve may cut interest rates around the middle of the year; local time 4 On March 4, Rengo, Japan's largest labor union, announced the results of the third round of wage negotiations, adjusting the annual wage increase from 5.25% in the previous round to 5.24%. It is expected that the Bank of Japan will also raise interest rates during the year, and we need to pay attention to wages in the future. The transfer of increases to terminal service prices, as well as the risk that recent geopolitics may raise Japan's import prices again.",neutral,neutral,Neutral,negative,positive, neutral
"High-frequency data: Upstream: This week, the average spot price of Brent crude oil increased by 5.99% week-on-week, cathode copper price increased by 1.32% week-on-week, and iron ore price fell by 4.99% week-on-week; midstream: rebar and cement prices respectively increased week-on-week Down 1.5%, 0.74%, Qinhuangdao Port thermal coal closing price rebounded 1.28% week-on-week; downstream: commercial housing transaction area fell 67.3% week-on-week, March 1-31, passenger car market retail sales increased 7% year-on-year; prices: Vegetable prices fell by 1.37% week-on-week, and pork prices increased slightly by 0.08%.",neutral,neutral,Neutral,negative,positive,1. neutral
