sentence,label - Yingxian,label - Kai,agreed,label - Qingyi
"""""In order to better implement this important policy of the central government, many provinces have increased the subsidy budget for agricultural insurance in 2024 to ensure that \'what you want to protect\' is what you should make up,\' and promote the healthy and sustainable development of agricultural insurance. Tuo Guozhu said.",positive,positive,1,
"How can the full cost insurance and planting income insurance policies for the three major grain crops be better implemented and benefit the majority of grain farmers? Tuo Guozhu believes that in order to benefit farmers and ensure stable food production and supply, multi-faceted efforts must be made. Not only must local governments make adequate premium subsidy budgets, but they must also do a good job in publicity and organization to increase underwriting coverage as much as possible. Insurance service level and ability to achieve all necessary insurance coverage and accurate loss determination and claim settlement.",neutral,positive,0,neutral
Continuously promote quality and efficiency improvement,positive,positive,1,
"At present, the depth of my country\'s agricultural insurance (premium scale/added value of the primary industry) exceeds 1.5%, and the density (premium scale/agricultural employment population) exceeds 700 yuan/person. The """"Guiding Opinions on Accelerating the High-Quality Development of Agricultural Insurance"""" has been completed. phased goals.",positive,positive,1,
"What other policies are worth looking forward to in developing agricultural insurance at present and in the next stage? """"On the basis of steadily expanding coverage, increasing products, and raising standards, the Ministry of Finance will work with relevant parties to continue to promote the quality and efficiency of my country\'s agricultural insurance from the perspective of improving the income guarantee mechanism for grain farmers."""" said the relevant person in charge of the Ministry of Finance , it is necessary to study and formulate comprehensive guidance to further promote the high-quality development of my country\'s agricultural insurance, rationally plan the priorities of agricultural insurance development in accordance with the idea of \u200b\u200b""""central development of bulk, local development characteristics"""", and ensure the three major staple foods and other major bulk agricultural products that are related to the national economy and people\'s livelihood. and important supplies.",positive,positive,1,
"In addition, we will promote the improvement of the quality and efficiency of insurance services and further enhance the sense of benefits of the policy for grain farmers. """"Cooperate with relevant parties to further clarify claims standards, standardize loss assessment, optimize compensation models, increase technological empowerment, make reasonable advance compensation, and make quick compensation if possible. Supervise insurance companies to design clauses that are easy to understand and improve farmers\' financial quality and insurance awareness. , to improve farmers’ sense of access and satisfaction with the policy,” said the person in charge.",positive,positive,1,
"my country\'s agricultural insurance is moving towards a new stage of high-quality development. Zhang Qiao believes that agricultural insurance will show a development trend from low protection to high protection, from extensive to precise, from single function to multifunctional, and from traditional to digital business models.",positive,positive,1,
"“In the future, my country’s agricultural insurance must follow the requirements of demand orientation, improving both quantity and quality, strengthening the foundation, strengthening the chain, reducing fees and increasing efficiency, improve the insurance protection level of important agricultural products such as grain, cotton, oil, sugar and pigs, and expand the scope of local characteristic agricultural products. Coverage scope, innovate and improve the multi-level agricultural insurance product system, promote agricultural insurance risk zoning and dynamic adjustment of premium rates, accelerate the application of agricultural insurance technology, optimize agricultural insurance operating mechanisms, strengthen agricultural insurance precise underwriting and claims settlement, and improve agricultural insurance infrastructure construction, Improve the agricultural insurance catastrophe risk dispersion system and promote the high-quality development of agricultural insurance,"""" Zhang Qiao said. (Reporter Zeng Jinhua)",positive,positive,1,
"Xinhua News Agency, Beijing, June 13th: The world is finally clearing up! The first national-level overall deployment of rural elderly care is heart-warming",neutral,positive,0,positive
Xinhua News Agency reporter Gao Lei,neutral,neutral,1,
The world is clear at night.,neutral,positive,0,positive
"The """"Guiding Opinions on Accelerating the Development of Rural Elderly Care Services"""" issued by the Ministry of Civil Affairs and 21 departments was released on the 13th. This is the first overall and systematic deployment of the development of rural elderly care services at the national level.",neutral,neutral,1,
Let all elderly people have a happy and contented old age.,positive,positive,1,
"The latest statistics show that my country’s population aged 60 and above has exceeded 296 million. The elderly population base is large and aging rapidly, and the demand for elderly care is growing rapidly.",neutral,neutral,1,
"In January this year, the State Council issued the """"Opinions on Developing the Silver Economy to Improve the Well-Being of the Elderly."""" This programmatic document to promote the development of the silver economy in the new era proposed 26 measures in 4 aspects, covering the elderly\'s clothing, food, housing, transportation, elderly care, health management and many other aspects.",neutral,neutral,1,
"Compared with urban elderly care services where resources are concentrated and the market is mature, the current situation of elderly care in rural areas is more urgent, the problems are more prominent, and many """"hurdles"""" are faced.",negative,neutral,0,negative
"First, there are many elderly people. With the development of the economy, more and more young people are going to work and develop in the cities, and the phenomenon of empty nests in rural families continues to appear. Nationally, the proportion of elderly people aged 60 and above in rural areas is 23.81%, which is 7.99 percentage points higher than that in urban areas.",negative,neutral,0,negative
"Second, there are few services. There are 16,000 rural nursing homes in my country with 1.681 million beds. There are approximately 145,000 mutual-aid elderly care service facilities in rural areas. However, due to the scattered residence of the elderly, the convenience and accessibility of services need to be improved.",negative,negative,1,
"In view of the current situation of """"more"""" and """"less"""" rural elderly care, the opinions set goals -",neutral,neutral,1,
"By 2025, the rural elderly care service network will be further improved, and outstanding service needs such as disability care for the elderly, medical and health care integration, meal assistance, visits and care, learning and entertainment, etc., will be effectively met.",positive,positive,1,
How to achieve this goal?,neutral,neutral,1,
"The opinions weave a happiness """"net"""" for rural elderly covering the three levels of county and village.",positive,positive,1,
"At the county level, each county will have at least one county-level support service agency for the extremely poor that focuses on disability care by 2025. These institutions also need to be responsible for coordinating elderly care resources and conducting training for elderly care talents.",neutral,positive,0,neutral
"At the township level, establish more regional elderly care service centers that can provide full-day care, day care and other services. By 2025, the overall service coverage of such service centers will not be less than 60% of the province\'s territory.",neutral,positive,0,positive
"At the village level, increase elderly care service points. Here, the elderly can eat hot meals, see a doctor for minor illnesses, and ask someone to buy daily necessities for them, etc. We strive to meet the daily needs of rural elderly without leaving the village or hometown.",neutral,positive,0,positive
"What supports this """"net""""?",neutral,neutral,1,
"The opinion proposes that """"stimulating endogenous motivation"""" and """"strengthening support and guarantees"""" should go together.",neutral,positive,0,neutral
"Our country\'s rural areas are a society of acquaintances, with relatively close interpersonal relationships, and villagers are highly enthusiastic about helping and reciprocating each other.",neutral,neutral,1,
"At present, various places have made useful explorations to maximize the enthusiasm of village collectives and villagers in participating in elderly care services.",positive,positive,1,
"Some villages have established """"happiness courtyards"""" by """"taking some of the elderly\'s pensions themselves, the children taking the initiative to contribute some, the village collective economy contributing some, social forces donating some, and asking superiors to supplement some"""";",positive,neutral,0,neutral
"Some villages have set up """"points banks"""", where points are awarded for helping deliver meals and assisting with cleaning. The accumulated points can be exchanged for items or services.",positive,neutral,0,neutral
The opinions have absorbed the exploration experience of all parties and strengthened support.,positive,positive,1,
"For example, villagers use their own residences or rented sites to host elderly care service institutions, and their opinions require help to improve fire protection, construction, food, etc. safety levels; young healthy elderly people and left-behind women in rural areas are encouraged to form rural elderly care mutual aid service teams, and relevant personnel participate in skills training Yes, you can also get vocational training subsidies.",positive,positive,1,
"""""Strengthening support and guarantees"""" means targeting the shortcomings and weaknesses.",neutral,positive,0,positive
Where are the elderly care services located? The opinions suggest that land use policies should be improved and rural elderly care service facilities should be included in township-level land spatial planning or village planning.,neutral,positive,0,neutral
"Where does the money come from? In addition to clarifying that the government should """"keep the bottom line"""", the opinions also encourage state-owned or private enterprises to operate elderly care service facilities in rural areas, and financial institutions will strengthen support.",neutral,positive,0,neutral
"Let old-age care become “enjoyment of old age”. It should be pointed out that there are still some problems restricting rural elderly care services in our country. With the implementation of this overall plan and the joint efforts of the whole society, the """"net"""" of pension happiness will become denser and denser, and the red sunset picture will become even more beautiful.",positive,positive,1,
"January 26, 2024 Source: Chongqing Municipal Finance Bureau Office",neutral,neutral,1,
"In recent years, the Chongqing Municipal Finance Bureau has deeply implemented Xi Jinping’s thoughts on the rule of law, thoroughly studied and implemented General Secretary Xi Jinping’s important expositions on financial work, solidly implemented the “one plan and two outlines” for rule of law construction and the Chongqing implementation plan, and promoted fiscal affairs with “four focuses” The construction of the rule of law continues to improve quality and efficiency, and the ability and level of law-based administration and financial management continue to improve.",positive,positive,1,
"1. Adhere to the guidance of party building and strive to improve political standing. Chongqing Finance adheres to the guidance of Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era, constantly improves the working mechanism for the party’s leadership in the construction of financial rule of law, and ensures that the construction of financial rule of law always maintains the correct political direction. The Bureau Party Group took the lead in promoting the """"main theme"""" of learning and using laws, and included Xi Jinping\'s Thought on the Rule of Law, the Constitution and other laws and regulations in the study plan of the Bureau Party Group\'s theoretical study center group as an important part of the education and training of Party members and cadres, and organized Party members and cadres to conscientiously study and understand the important aspects of Xi Jinping\'s Thought on the Rule of Law. Meaning, core essence, and practical requirements. Strictly implement the responsibilities of the person in charge of the party and government agencies as the first person responsible for promoting the construction of the rule of law. The party secretary and director of the bureau take the lead in implementing legal procedures for major administrative decisions, regularly listen to reports on the construction of the rule of law in finance, and continuously improve the leadership team\'s use of rule of law thinking and methods to deepen fiscal reform. , promote the development of fiscal undertakings, the ability to respond to risks in the fiscal field, and promote the overall improvement in the efficiency of fiscal rule of law construction.",positive,positive,1,
"2. Improve the mechanism system and focus on consolidating work responsibilities. The first is to establish an overall leadership mechanism. The city\'s leading group for the construction of the financial rule of law took the lead and made it clear that members of the team should do a good job in building the financial rule of law in their respective areas of responsibility. We will insist on holding annual meetings of the leading group to arrange key fiscal and legal tasks, study and solve key and difficult issues, and track the implementation of effectiveness tasks. The second is to strengthen the establishment of rules and regulations. Improve the """"1+N"""" fiscal rule of law system, formulate the """"Implementation Opinions on Deeply Promoting the Construction of Chongqing\'s Fiscal Rule of Law in the New Era"""", clarify the guiding ideology, overall goals and main tasks of the construction of fiscal rule of law, from building an institutional system, implementation system, supervision system and guarantee The four aspects of the system refine the specific measures for the construction of fiscal rule of law and break them down to each department, forming a work pattern in which each performs its own duties and promotes them in a coordinated manner. The third is to improve the supervision and assessment mechanism. Formulate the """"Hongyan Pioneer"""" transformational financial organization construction plan, promote the """"rule of law in operation"""" of financial agencies, and incorporate the financial legal construction indicators into the bureau\'s """"four statements"""" indicator system as an important part of the """"operation statements"""" to focus on assessing decision-making in accordance with the law. , law enforcement, law popularization and publicity, appearing in court to respond to lawsuits, etc.",positive,positive,1,
"3. Standardize the operation of power and strive to enhance awareness of the rule of law. Strengthen the management of financial and administrative normative documents, formulate the """"Implementation Measures for the Management of Administrative Normative Documents of the Chongqing Municipal Finance Bureau"""" and the operating guide for document production and issuance, divide the life cycle of financial and administrative normative documents into twelve links, and use closed-loop management of the """"ten The """"two-step method"""" """"locks"""" administrative power into the """"cage"""" of the system and improves the level of scientific, standardized and legalized """"red-headed documents"""". The """"Implementation Benchmarks for Chongqing\'s Fiscal and Administrative Penalty Discretionary Power"""" was formulated to refine the penalty discretionary standards for 191 types of illegal acts in four fields including government procurement and financial accounting supervision, and actively promote flexible law enforcement. Information on key areas such as fiscal budgets and final accounts, fiscal revenue and expenditure, government debt, tax and fee reductions, government procurement, and financial accounting supervision shall be disclosed to the public in a timely manner and in accordance with the law. We shall conscientiously release and interpret fiscal policies, respond to social concerns, and accept supervision in accordance with the law.",positive,positive,1,
"Fourth, highlight joint efforts and joint management, and strive to play the role of legal dissemination. First, formulate and implement the """"Eighth Five-Year Plan"""" for fiscal law popularization, clarify the goals, tasks, objects and measures of fiscal law popularization, and highlight the study and publicity of Xi Jinping\'s Thought on the Rule of Law, the Constitution, the Civil Code, and fiscal and taxation laws and regulations. In accordance with the law popularization responsibility system of """"whoever enforces the law shall popularize the law"""", we will continue to improve the list of legal popularization responsibilities, formulate an annual financial law popularization plan, and implement the legal popularization tasks to people. The second is to innovate the method of legal popularization and continuously expand the platform for publicity and education on the rule of law in finance. On the basis of traditional video and poster publicity, we use rule of law forums, court hearings, knowledge competitions and other forms to create a strong atmosphere for rule of law publicity. The third is to enrich the publicity carrier of the fiscal rule of law, focus on summarizing the achievements of the construction of the fiscal rule of law, and compile the guiding documents on the construction of the fiscal rule of law, the currently effective laws and regulations in the fiscal field, and the normative documents of Chongqing\'s fiscal administration into a volume to provide financial cadres with the ability to learn and use the law. Practical teaching materials create a strong atmosphere of """"respecting the law, studying the law, observing the law and using it"""" in the city\'s financial system.",positive,positive,1,
"Financial data for April 2024 will be released on May 20. From January to April, the general budget revenue accumulated to 8.1 trillion yuan, with a year-on-year growth rate of -2.7%, which is poor performance. Since 2024, public fiscal revenue has continued to be negative year-on-year. The growth rates for the same period from 2021 to 2023 are 3.6% (compounded over two years), -4.8%, and 3.3% (compounded over two years) respectively. After deducting the impact of special factors such as the tax deferment of small, medium and micro enterprises in the same period last year, which raised the base, and some tax reduction policies introduced in the middle of last year, the comparable growth rate was about 2.0%. The progress of general budget revenue in the first four months was slow, and only 36.1% of the national public fiscal revenue budget for the year was completed. The average over the past five years was 36.9%.",negative,negative,1,
"The first account income is mainly dragged down by tax revenue. The total tax revenue from January to April was 6.7 trillion yuan, -4.9% year-on-year, and non-tax revenue was 1.4 trillion yuan, 9.3% year-on-year. In terms of tax types, 1) The top four tax types, domestic value-added tax, domestic consumption tax, corporate income tax and personal income tax, have a year-on-year growth rate of -7.6%, 8.3%, 0.9%, and -7.0% respectively. The growth rates are all higher than those in March. Somewhat downward. The decline in the growth rate of the four major tax categories may be related to the still low nominal economic growth rate; the decline in the growth rate of domestic consumption tax is mutually confirmed by the low growth rate of commodity retail sales in April, reflecting that the current domestic consumption still needs to be boosted; compared with corporate income tax The decline in the same period last year and in March was partly due to the impact of the tax deferred payment of small, medium and micro enterprises in the same period last year, which raised the base. On the other hand, it was also related to the continued low ex-factory price of industrial products. In April, the decline in personal income tax was wider, and the cumulative year-on-year growth rate It has been negative since February last year. 2) Taxes related to import and export performed well. The cumulative year-on-year growth rate of import value-added tax turned positive for the first time since 2023, reflecting the rise in my country’s import demand; the decline in the scale of export tax rebates for foreign trade companies narrowed, reflecting the gradual entry of overseas manufacturing. During the replenishment cycle, external demand has been boosted; 3) Among land and real estate related taxes, real estate tax, urban land use tax and cultivated land occupation tax have accumulated year-on-year growth of 19.2%, 12.1% and 20.2% respectively. The growth rate is relatively fast, but not It cannot directly reflect the improvement of land acquisition situation, and land transfer in April is still not optimistic.",negative,negative,1,
"The expenditure side of the first account increased by 3.5%, mainly driven by infrastructure-related expenditure projects. From January to April, the expenditure items with the fastest year-on-year growth were agriculture, forestry and water affairs (12.7%), urban and rural community affairs (11.5%) and debt interest payments (6.8%), with the first two being infrastructure-related expenditure items. The total expenditure on the four items of infrastructure construction has turned from negative to positive since September last year, and the cumulative year-on-year growth rate from January to April this year has risen to 7.9%. This may be because the issuance of special bonds has accelerated since August last year, and the issuance of government bonds has accelerated since September. The additional issuance of 1 trillion treasury bonds will be used to support post-disaster recovery and reconstruction and improve disaster prevention, reduction and relief capabilities, and will be directly invested in infrastructure fields such as water conservancy, and most of the additional treasury bonds issuance has already begun.",neutral,neutral,1,
"1 trillion in additional government bonds are issued to boost infrastructure investment. On March 21, the State Council Information Office stated at a press conference, “In the past year, our country has issued an additional 1 trillion yuan of treasury bonds. By February this year, the National Development and Reform Commission had completed the list of 1 trillion yuan of additional treasury bond issuance projects in three batches. Funds have been fully allocated to 15,000 specific projects. """"In terms of support areas, more than half of the 1 trillion yuan in additional government bonds will be used for the construction of flood control and drainage and other related water conservancy facilities, and more than 200 billion yuan will be used for projects in Beijing, Tianjin, and Hebei. For post-disaster reconstruction, the remaining funds will be mainly used to improve natural disaster emergency response capabilities and build projects in these areas such as forest fire prevention and control systems, which will objectively promote stable growth in infrastructure investment.”",positive,positive,1,
"However, judging from the formation of physical workload, the impact may begin to be felt in the second half of 2024. On May 19, according to CCTV News, the National Development and Reform Commission revealed that currently, of the 15,000 projects that have implemented additional government bond issuance projects, 11,000 have started construction, with an operating rate reaching 72%. The remaining projects will strive to start construction before the end of June. . At present, the overall progress of post-disaster recovery and reconstruction projects is relatively fast. The project start-up rate in the three provinces and cities of Beijing, Tianjin and Hebei has reached 95%. Compared with the 72% start-up rate at the national level, the start-up process in other provinces may be slower. In addition, social security employment expenditures increased by 5.7%, and the growth rate increased. The total growth rate of social security employment + health was -0.7%. This was mainly due to the slowdown in health expenditures after the epidemic, and health expenditures fell by 9.4% year-on-year.",neutral,positive,0,neutral
"From January to April, broad-based income fell by 3.4% year-on-year, and broad-based expenditure fell by 2.3% year-on-year. The cumulative growth rate of general fiscal revenue (general public budget + government fund budget) from January to April has turned negative since this year. The general public budget and government fund budget revenue are both negative, mainly related to the decrease in government land sales revenue (-10.4 %); the cumulative growth rate of broad fiscal expenditures from January to April was -2.3%, a wider decline than the previous month, mainly due to the slow pace of special bond issuance since the beginning of the year. The issuance of new special bonds has been slow this year, with only 44% of actual issuances/planned issuances in April. The cumulative progress of new special bonds in the first four months was 18.5%, which is far lower than the 2019-2023 average (30%), which may reflect the small reserve of infrastructure projects in various regions and the slow start of construction.",negative,negative,1,
"Pay attention to the pace and sustainability of infrastructure development. In 2024, the National Two Sessions made it clear that in order to systematically solve the funding problems of some major project construction in the process of building a strong country and national rejuvenation, it plans to issue ultra-long-term special treasury bonds for several consecutive years starting from this year, specifically for the implementation of major national strategies and security in key areas. For capacity building, 1 trillion yuan will be issued first this year. The Politburo meeting on April 30 stated that it is necessary to issue and make good use of ultra-long-term special treasury bonds as soon as possible, speed up the issuance and use of special bonds, and maintain necessary fiscal expenditure intensity. However, judging from the special treasury bond issuance plan announced by the Ministry of Finance on May 13, the issuance of 1 trillion ultra-long special treasury bonds is relatively scattered from May to November, and the number of issuances from June to October is relatively large. Combined with the slow start of the additional 1 trillion treasury bonds issued last year and the slow pace of new special bond issuance this year, infrastructure spending may be relatively late, and its sustainability remains to be seen.",neutral,neutral,1,
"Risk warning: Fiscal policy adjustments are beyond expectations, the pace of revenue and expenditure is less than expected, data updates are not timely, etc.",negative,negative,1,
"This week, China's industrial production is still weaker than seasonal, investment physical workload formation has slowed down, and freight logistics data performed poorly. However, residents' offline economic activity has recovered, and domestic flights, subway travel, and movie box office revenue have bottomed out and rebounded from the previous month.",negative,neutral,0,neutral
"1. Production: Industrial production was weaker than seasonal, and most indicators fell year-on-year. 1) The operating rates of mid- and downstream automobile tires, polyester filament yarns, and looms in Jiangsu and Zhejiang fell across the board compared with the previous month. 2) Upstream raw material production has mostly slowed down. Among them, the further decline in profitability has put pressure on steel production, insufficient demand has led to a decline in cement clinker production capacity utilization, and the operating rates of major chemical products have mostly weakened year-on-year; however, hot metal production, Shandong local refining, and petroleum asphalt operating rates have increased from low to marginal rebounded and the year-on-year decline narrowed.",negative,negative,1,
"2. Investment: The rate of investment funds in place and the amount of raw materials have fallen simultaneously. 1) In terms of funding, according to a survey by Centennial Construction Network, the funding rate for construction sites dropped month-on-month in the week of July 16. Among them, the funding availability rate of non-housing construction projects dropped by 0.03 percentage points from the previous month to 64.39%, and the funding availability rate of housing construction projects dropped by 0.4 percentage points from the previous month to 48.56%. 2) In terms of consumption, the apparent consumption of steel building materials (threads and wire rods) this week was -13.1% year-on-year, a decline that expanded by 1.9 percentage points from last week. From July 10 to July 16, the year-on-year growth rates of national cement shipments and infrastructure cement direct supply were -32% (-4.5pct compared to the previous week) and -17.6% (-0.3.6pct compared to the previous week) respectively.",negative,negative,1,
"3. Real estate: The year-on-year decline in new home sales narrowed, driven by a low base. 1) In terms of new homes, the average daily transaction area of \u200b\u200bnew homes in 61 sample cities in the past seven days fell slightly month-on-month, down 17.5% year-on-year. Looking at city levels, new home sales in first- and second-tier cities this week fell month-on-month and the year-on-year decline expanded, while the same-month and month-on-month growth rates in third- and fourth-tier cities picked up. Since July, the year-on-year growth rate of the average daily transaction area of \u200b\u200bnew homes in the sample cities has expanded by 1.1 percentage points from June to -16.3%, which is 59.7% lower than the average for the same period from 2019 to 2021. The decline exceeds the 47.5% in June and May. 52.7%. 2) In terms of second-hand houses, the average daily area of \u200b\u200bsecond-hand houses in 15 sample cities has increased by 37.9% year-on-year in the past seven days, and has increased by 29.8% year-on-year since July.",negative,neutral,0,positive
"4. Domestic demand: Freight traffic fell, while passenger transport and consumption recovered weakly. 1) Freight logistics fell back. In the past seven days, the vehicle freight flow index, public logistics park throughput index, and major express delivery company distribution center throughput index have declined month-on-month, and the year-on-year decline has expanded. 2) The popularity of passenger transportation has increased. In the past seven days, domestic passenger flights and subway passenger traffic in 24 cities have rebounded month-on-month, with year-on-year growth rates increasing to 6.5% and 4.8% respectively; Baidu migration index has increased month-on-month, slightly lower than the same period last year. 3) Residential consumption is weakly repaired. In the first 14 days of July, the passenger car market grew by 3% year-on-year, driven by summer car purchases and travel; the average daily box office revenue of national movies in the past seven days was 240 million yuan, higher than last week's 127 million yuan, and the year-on-year decline narrowed to 8%.",negative,neutral,0,negative
"5. External demand: The growth trend is slowing down. 1) Export freight rates at some ports and routes turned from rising to falling. This week, China's export container freight index rose 3.3% month-on-month. It is worth noting that this week, the export container freight rates at the two important ports of Shanghai and Ningbo continued to fall, and the export freight rates for routes to the West America and East and West Africa fell, which may indicate that this round of export freight rates is close to peaking. 2) Port container throughput repair. In the week ending July 14, port container throughput monitored by the Ministry of Transport hit a new high since May 2022, with year-on-year growth rebounding to 13.1%.",negative,negative,1,
"Risk warning: Policies to stabilize growth fall short of expectations, overseas economic recession is worse than expected, geopolitical conflicts escalate, etc.",negative,negative,1,
Major events of the week,neutral,neutral,1,
"Domestic: China and the United States have another high-level phone call, and the central bank’s first quarter regular meeting is held. In March, Caixin China's manufacturing PMI recorded 51.1%, 0.2 percentage points higher than in February. It has remained on the line of prosperity and contraction for five consecutive months, indicating that the overall economic recovery is improving. It is expected that with the implementation of the policies proposed by the two sessions, Equipment updates and trade-in of consumer goods continue to help, and the manufacturing boom is expected to maintain steady expansion; on April 2, the National Development and Reform Commission hosted the first symposium on large-scale equipment update and trade-in of consumer goods, reflecting the importance that the National Development and Reform Commission attaches to private enterprises and support, as well as determination and actions to promote high-quality economic development; on the evening of April 2, Chinese President Xi Jinping had a phone call with U.S. President Biden at request. The two heads of state had a candid and in-depth exchange of views on Sino-U.S. relations and issues of common concern. Opinion: In recent years, the dialogue between China and the United States has gradually increased. This phone call between China and the United States is to continue to implement the consensus reached at the China-US San Francisco Summit and to keep high-level communication channels open. China-US relations are expected to continue the healthy, stable and positive development trend; On April 3, according to the official website of the People's Bank of China, the first quarter regular meeting of the Central Bank's Monetary Policy Committee was held in 2024. The central bank still focuses on the five major financial articles, especially real estate and platform economy. The implementation of subsequent monetary policies will be increased, and real estate Financing pressure will be eased, which will help boost residents and market confidence.",positive,positive,1,
"Overseas: The U.S. manufacturing industry is relatively resilient, but the performance within the Eurozone is divided. On April 1, local time, the final value of the Eurozone manufacturing PMI in March was 46.1%, higher than market expectations, but a three-month low. The European economy is still in a weak state, mainly dragged down by Germany and France. It is expected that the short-term recovery prospects of the European economy will still be bumpy due to differentiated performance; on the same day, the U.S. ISM manufacturing index unexpectedly rose to 50.3% in March, entering the expansion range for the first time since September 2022. PMI data shows that the U.S. economy, especially the manufacturing industry Resilience is strong, and inflation is also highly sticky, but we still remind people to pay attention to the pressure on residents’ balance sheets; on April 2, local time, two Fed voting members, Mester and Daley, expressed a common view. They still expect the Fed to Interest rates will be cut three times in 2024. Judging from previously released data, the U.S. CPI rebounded slightly in February, the structure has improved, and wage increases have also slowed. We still maintain the judgment that the Federal Reserve may cut interest rates around the middle of the year; local time 4 On March 4, Rengo, Japan's largest labor union, announced the results of the third round of wage negotiations, adjusting the annual wage increase from 5.25% in the previous round to 5.24%. It is expected that the Bank of Japan will also raise interest rates during the year, and we need to pay attention to wages in the future. The transfer of increases to terminal service prices, as well as the risk that recent geopolitics may raise Japan's import prices again.",neutral,neutral,1,
"High-frequency data: Upstream: This week, the average spot price of Brent crude oil increased by 5.99% week-on-week, cathode copper price increased by 1.32% week-on-week, and iron ore price fell by 4.99% week-on-week; midstream: rebar and cement prices respectively increased week-on-week Down 1.5%, 0.74%, Qinhuangdao Port thermal coal closing price rebounded 1.28% week-on-week; downstream: commercial housing transaction area fell 67.3% week-on-week, March 1-31, passenger car market retail sales increased 7% year-on-year; prices: Vegetable prices fell by 1.37% week-on-week, and pork prices increased slightly by 0.08%.",neutral,neutral,1,
"Focus next week: Germany's February industrial output year-on-year (Monday); China's March social finance data (to be determined), the United States' March NFIB small and medium-sized enterprise optimism index (Tuesday); the United States' March CPI (Wednesday); China's March CPI, PPI, the European Central Bank announced the interest rate decision, the United States March PPI (Thursday); China's March import and export year-on-year, Japan's February industrial output year-on-year, Germany's March reconciled CPI, the United States' April University of Michigan consumer confidence index ( Friday).",neutral,neutral,1,
"Risk warning: The domestic economic recovery is less than expected, and the overseas economy is declining more than expected.",negative,negative,1,
"We believe the weaker PMI data in May is a reflection of the relative lack of demand. Looking forward, what needs to be paid attention to is firstly whether the support of the construction industry, especially infrastructure, to the economy will weaken significantly; secondly, how long the support for the economy can last when external demand for exports stabilizes and the base number last year was low. At the same time, when the prospects for economic recovery are relatively uncertain, market expectations for policy efforts are gradually rising.",negative,negative,1,
"Risk warning: Quasi-fiscal tools are used to support infrastructure construction, external demand performance is stronger than expected, and policies exceed expectations",positive,neutral,0,positive
"This round of RMB appreciation at the end of 2023 has a different flavor. How big will this round of exchange rate appreciation be? Why did the appreciation of the exchange rate not bring about a rise in the stock market? Let’s start with these two issues to analyze the new changes in exchange rates in recent years, and look forward to 2024 based on these changes. For the first question, our answer may be different from what seems intuitive - the RMB\'s increase may be too large, and this is also the answer to the second question.",neutral,neutral,1,
"To understand the logic behind it, we believe that the core reason is the stronger policy attribute of the exchange rate this year. Related to this, there are three profound changes worthy of attention: the rise in the attribute of """"policy bottom"""", the deepening of the brand of """"financing currency"""" and the """"economic stabilizer"""" """"The function is weakened. We believe that under these three changes, it is very likely that the RMB exchange rate will break 7 next year, but this is not necessarily good news for the economy and the market.",neutral,neutral,1,
"Looking forward to 2024, the biggest uncertainty in the exchange rate comes from policy demands. Under the base case, we believe that the RMB exchange rate: 1) will appreciate moderately throughout the year; 2) depreciation pressure will be greater in the first half of the year;",neutral,neutral,1,
"2) In terms of the overall rhythm, it shows the characteristics of """"high at the beginning and end of the year, low in the middle"""", and may rise above 7 in stages. However, if there is a strong demand for """"policy bottom"""", it may rise sharply above 7 in the first half of the year and turn to a sharp depreciation in the second half of the year.",neutral,neutral,1,
“Policy bottom”: increasingly obvious constraints,negative,neutral,0,negative
"To understand why we believe that the current round of RMB appreciation is too large, we must start from the first change - the attribute of """"policy bottom"""". This is reflected in the firmer determination to hold the bottom line of the exchange rate. From mid-September to mid-November this year, the People\'s Bank of China fixed the central parity rate at around 7.18, helping the RMB exchange rate to hold the bottom line of 7.32. During this period, the U.S. dollar once rose above 107, setting a new high for the year. , and this exchange rate adjustment method has rarely appeared after the exchange reform in August 2015.",neutral,negative,0,negative
"If policy intervention is not considered, the low point of the RMB exchange rate this year was around 7.41 and around 7.39 in early November. The RMB appreciation rate in November has reached 3.5%. If we take into account China’s relatively lower interest rates and relatively worse exports ( In October, the exports of South Korea, Vietnam and other countries have turned positive year-on-year, while China\'s exports are still at a low of -6.4%). This appreciation is considerable.",positive,neutral,0,positive
"We believe that the important reason behind this is the competition between China and the United States, which has led to the exchange rate needing both a U.S. dollar anchor and a """"policy bottom."""" In our previous analysis framework, the U.S. dollar has always been an important benchmark for the RMB exchange rate. It is then fine-tuned based on imports, exports and cross-border capital flows, and the weight of the policy impact is relatively limited. But this will change in 2023, which will also have a profound impact on the exchange rate changes in 2024.",neutral,neutral,1,
"The """"policy bottom"""" of the RMB exchange rate: the perspective of growth competition between China and the United States. This year may be the first year since China’s accession to the WTO in 2001 that the US dollar-denominated GDP growth rate has recorded a negative value. From the first three quarters, China’s US dollar-denominated GDP growth rate was about -2%, with the exchange rate depreciating. The range exceeds 6%. The direct result of this is that China\'s contribution to the global economy in 2023 will be less than that of the United States, or even less than that in 2022.",negative,negative,1,
